Category,Predicted_Total,Correct,Precision_Percent
F,107,106,99.06542056074767
M,20,12,60.0
P,377,360,95.49071618037135
R,37,26,70.27027027027027
C,37,23,62.16216216216216
A,485,442,91.1340206185567
N,137,136,99.27007299270073
